place,name,points,level
1,Döbeli Andreas ***,58.75,***
2 c,Odermatt Adrian *,57.25,*
4 a,Hermann Oliver **,56.75,**
5 b,Erb Roger **,56.50,**
5 e,Schmid Samuel **,56.50,**
6 b,Kindlimann Fabian ***,56.00,***
6 e,Brun Samuel **,56.00,**
Nord,tschweizerischer Schwingerverband,,Schwingerverband
2 a,Räbmatter Patrick ***,57.25,***
3 a,Schurtenberger Sven ***,57.00,***
4 b,Bader Fabian *,56.75,*
5 c,Brand Christian **,56.50,**
5 f,Schmid David ***,56.50,***
6 c,Hügli Kaj **,56.00,**
6 f,Schmutz Simon *,56.00,*
2 b,Leuppi Samir ***,57.25,***
3 b,Wenger Kilian ***,57.00,***
5 a,Strebel Joel ***,56.50,***
5 d,Stüdeli Thomas **,56.50,**
6 a,Vieira Tiago **,56.00,**
6 d,Henzer Andreas **,56.00,**
6 g,Matthey Mickaël **,56.00,**
6 h,Hasler Luis,56.00,Luis
7 c,Gerber Christian ***,55.75,***
8 a,Schwegler Dominik,55.50,Dominik
8 d,Joho Philip *,55.50,*
8 g,Joho Pascal (2004),55.50,(2004)
9 b,Roth Tim (2004),55.25,(2004)
9 e,Hermann Lukas,55.25,Lukas
9 h,Vogel Remo *,55.25,*
Nord,tschweizerischer Schwingerverband,,Schwingerverband
7 a,Schmutz Adrian *,55.75,*
7 d,Bachmann Sämi,55.75,Sämi
8 b,Stoll Simon **,55.50,**
8 e,Huser Roman,55.50,Roman
8 h,Grieder Nonda,55.50,Nonda
9 c,Böni Ralf (2004),55.25,(2004)
9 f,Frank Marius (2004),55.25,(2004)
10 a,Schärer Nico (2004),55.00,(2004)
7 b,Graber Colin,55.75,Colin
7 e,Mangold Michael **,55.75,**
8 c,Kohler Adrian *,55.50,*
8 f,Ris Jörn *,55.50,*
9 a,Stoll Thomas *,55.25,*
9 d,Stark Urban,55.25,Urban
9 g,Christ Dario (2003) *,55.25,*
10 b,Mangold Martin *,55.00,*
10 c,Ancona Enea (2004),55.00,(2004)
11 b,Streich Sascha,54.75,Sascha
11 e,Späti Jan,54.75,Jan
12 b,Vogt Fredy,54.50,Fredy
13 b,Strebel Dominic (2005),54.25,(2005)
13 e,Burkhardt Roy,54.25,Roy
14 c,Regenass Beat,54.00,Beat
14 f,Dobler Florian,54.00,Florian
15 c,Abt Robin,53.75,Robin
Nord,tschweizerischer Schwingerverband,,Schwingerverband
10 d,Odermatt Jonas (2004),55.00,(2004)
11 c,Reinhard Adrian *,54.75,*
11 f,Nussbaumer Gabriel,54.75,Gabriel
12 c,Scherrer Johann **,54.50,**
13 c,Nyﬀenegger Florian,54.25,Florian
14 a,Küng Marco *,54.00,*
14 d,Gfeller Joel (2005),54.00,(2005)
15 a,Suter Jonas (2003),53.75,(2003)
15 d,Thommen Nick,53.75,Nick
11 a,Christ Marino (2005),54.75,(2005)
11 d,Stegmüller Klemens *,54.75,*
12 a,Widmer David **,54.50,**
13 a,Büttler Gian,54.25,Gian
13 d,Hengartner Jonas (2005),54.25,(2005)
14 b,Schreiber Raphael (2004),54.00,(2004)
14 e,Caviezel Nicolas (2003),54.00,(2003)
15 b,Dünner Tobias (2005),53.75,(2005)
15 e,Stocker Niklas (2005),53.75,(2005)
15 f,Nussbaumer Dominik,53.75,Dominik
16 b,Imobersteg Matthias **,53.50,**
17 b,Probst Gabriel **,53.25,**
18 c,Reimann Marco *,53.00,*
18 f,Vogt Marco (2003),53.00,(2003)
19 c,Maltsev Stepan (2005),52.75,(2005)
20 c,Halbeisen Florian (2005),52.50,(2005)
22,Fricker Ivo,45.75,Ivo
25,Duplan Steve ***,35.75,***
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Nord,tschweizerischer Schwingerverband,,Schwingerverband
15 g,Jehle Aaron (2005),53.75,(2005)
16 c,Reinhard Roman (2005),53.50,(2005)
18 a,Stampﬂi Simon (2004),53.00,(2004)
18 d,Gisin Yanic,53.00,Yanic
19 a,Steger Robert,52.75,Robert
20 a,Wiedmer Lukas,52.50,Lukas
21 a,Nussbaumer Joschua (2003),51.25,(2003)
23,Hengartner Tobias (2003),36.25,(2003)
26,Müller Christian,35.50,Christian
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
16 a,Schick Janis (2003),53.50,(2003)
17 a,Vogt Sandro (2004),53.25,(2004)
18 b,Rickenbacher Cedric,53.00,Cedric
18 e,Furter Jannis (2004),53.00,(2004)
19 b,Regenass Reto,52.75,Reto
20 b,Kulmer Nick (2004),52.50,(2004)
21 b,Herrmann Daniel (2003),51.25,(2003)
24,Suppiger René ***,36.00,***
27,Lisser Daniel *,25.75,*
